127.0.0.1 - - [24/Jan/2021:20:15:09 +0100] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:15:10 +0100] "GET /VR/index HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:15:10 +0100] "GET /VR/css/style.css HTTP/1.1" 200 2053
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:15:10 +0100] "GET /VR/images/unilogo.png HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:15:36 +0100] "GET /VR HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:15:36 +0100] "GET /VR/ HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:15:36 +0100] "GET /VR/css/style.css HTTP/1.1" 200 2053
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:15:36 +0100] "GET /VR/images/unilogo.png HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:15:36 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:15:41 +0100] "GET /VR/index HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:15:43 +0100] "GET /VR/guestgui HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:15:53 +0100] "GET /VR/index HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:15:56 +0100] "GET /VR/staffmembergui HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:16:02 +0100] "GET /VR/staffmembergui HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:31:01 +0100] "GET /VR/staffmembergui?page=insertoffer HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:31:12 +0100] "POST /VR/staffmembergui?action=insertOffer HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:31:32 +0100] "GET /VR/staffmembergui?page=insertoffer HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:31:55 +0100] "POST /VR/staffmembergui?action=insertOffer HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:33:06 +0100] "GET /VR/staffmembergui?page=insertoffer HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:33:22 +0100] "POST /VR/staffmembergui?action=insertOffer HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:33:29 +0100] "GET /VR/index HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:33:31 +0100] "GET /VR/staffmembergui HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:33:32 +0100] "GET /VR/index HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:33:34 +0100] "GET /VR/guestgui HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:33:36 +0100] "GET /VR/index HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:33:38 +0100] "GET /VR/guestgui HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [24/Jan/2021:20:33:55 +0100] "POST /VR/guestgui?action=browseAvailableHolidayOffers HTTP/1.1" 200 1596
